CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,churn_probability,risk_band_default,risk_band_optimized,actual_churn,predicted_churn_f1
585,France,Male,36,7,0.0,2,1,0,94283.09,0.0304,Low,Low,0,0
525,Germany,Male,33,4,131023.76,2,0,0,55072.93,0.068,Low,Low,0,0
557,Spain,Female,40,4,0.0,2,0,1,105433.53,0.0421,Low,Low,0,0
639,Spain,Male,34,5,139393.19,2,0,0,33950.08,0.0537,Low,Low,0,0
640,Spain,Female,34,3,77826.8,1,1,1,168544.85,0.098,Low,Low,0,0
559,Spain,Male,34,0,0.0,1,1,0,182988.94,0.1927,Low,Low,0,0
595,Germany,Male,30,9,130682.11,2,1,1,57862.88,0.0546,Low,Low,0,0
706,Germany,Female,29,6,185544.36,1,1,0,171037.63,0.2235,Low,Low,0,0
505,France,Male,49,7,80001.23,1,0,0,135180.11,0.5325,Medium,Medium,0,1
714,France,Female,40,0,0.0,2,1,0,62762.12,0.0573,Low,Low,0,0
699,Germany,Female,54,3,111009.32,1,1,1,155905.79,0.6719,Medium,Medium,1,1
625,France,Female,38,7,0.0,1,1,0,164804.02,0.2714,Low,Low,0,0
721,France,Male,35,10,0.0,2,1,0,71594.26,0.0302,Low,Low,0,0
727,Spain,Female,31,10,96997.09,2,0,0,76614.04,0.0707,Low,Low,0,0
670,France,Male,38,10,89416.99,1,0,0,144275.39,0.128,Low,Low,0,0
702,Spain,Male,30,2,0.0,2,1,1,145537.32,0.0248,Low,Low,0,0
633,France,Female,42,1,0.0,2,1,0,56865.62,0.0582,Low,Low,0,0
491,Spain,Female,61,8,0.0,2,0,1,139861.53,0.1715,Low,Low,0,0
617,Germany,Female,58,3,119024.75,2,1,0,35199.24,0.7837,High,High,1,1
572,Germany,Female,35,1,139979.07,1,1,0,185662.84,0.3399,Low,Low,0,0
551,France,Male,52,1,0.0,1,0,0,63584.55,0.8491,High,High,1,1
471,Spain,Male,26,8,0.0,2,1,1,179655.87,0.0359,Low,Low,0,0
466,France,Male,26,3,156815.71,1,1,1,137476.09,0.0563,Low,Low,0,0
588,France,Male,44,8,154409.74,1,1,0,49324.03,0.2847,Low,Low,1,0
778,France,Female,34,7,109564.1,1,0,1,113046.81,0.0747,Low,Low,0,0
729,France,Male,34,3,152303.8,1,1,0,12128.69,0.0814,Low,Low,0,0
776,France,Female,43,4,0.0,2,0,1,162137.5,0.0714,Low,Low,0,0
664,Spain,Male,35,1,115024.5,1,0,1,169665.79,0.0683,Low,Low,0,0
523,France,Male,36,8,158351.02,2,1,0,155304.53,0.053,Low,Low,0,0
733,Germany,Male,39,5,91538.51,1,1,1,93783.0,0.2294,Low,Low,0,0
693,France,Female,30,6,127992.25,1,1,1,50457.2,0.0764,Low,Low,0,0
614,France,Male,46,4,0.0,1,1,0,74379.57,0.5852,Medium,Medium,1,1
775,France,Male,45,8,0.0,1,1,0,130376.68,0.5753,Medium,Medium,0,1
633,France,Male,43,5,0.0,2,1,1,48249.88,0.0434,Low,Low,0,0
676,France,Female,43,2,0.0,1,1,1,55119.53,0.3266,Low,Low,0,0
768,France,Female,26,5,51116.26,1,1,1,70454.79,0.0999,Low,Low,1,0
727,France,Female,29,1,146652.01,1,1,1,173486.39,0.0694,Low,Low,0,0
629,France,Female,40,6,0.0,2,1,1,139356.3,0.0545,Low,Low,0,0
702,Spain,Male,43,6,116121.67,1,1,0,61602.42,0.2761,Low,Low,0,0
796,Germany,Female,52,9,167194.36,1,1,1,62808.93,0.4101,Medium,Medium,1,1
530,Spain,Female,41,4,0.0,2,0,1,147606.71,0.0611,Low,Low,0,0
510,France,Female,32,1,0.0,2,0,1,28515.17,0.0291,Low,Low,0,0
709,France,Male,44,9,128601.98,1,1,0,117031.2,0.3036,Low,Low,0,0
642,Germany,Female,40,6,129502.49,2,0,1,86099.23,0.1336,Low,Low,1,0
655,Germany,Female,30,1,83173.98,2,1,1,184259.6,0.059,Low,Low,0,0
464,France,Female,33,10,147493.7,2,1,0,100447.53,0.0647,Low,Low,0,0
617,Spain,Male,61,3,113858.95,1,1,1,38129.22,0.1708,Low,Low,0,0
655,Germany,Female,46,7,137145.12,1,1,0,115146.4,0.7371,High,High,1,1
709,France,Male,26,6,156551.63,1,0,1,4410.77,0.0567,Low,Low,0,0
642,France,Male,48,9,118317.27,4,0,0,78702.98,0.857,High,High,1,1
741,Spain,Female,42,9,121056.63,2,1,0,39122.58,0.1528,Low,Low,0,0
415,Spain,Male,53,5,167259.44,1,1,1,22357.25,0.2346,Low,Low,0,0
684,France,Male,30,2,0.0,2,1,0,83473.82,0.0283,Low,Low,0,0
706,Spain,Male,29,2,0.0,2,1,1,18255.51,0.0272,Low,Low,0,0
634,France,Female,45,2,0.0,1,1,1,143458.31,0.4966,Medium,Medium,0,1
813,France,Male,29,6,0.0,1,1,0,33953.87,0.1287,Low,Low,0,0
775,Germany,Male,70,6,119684.88,2,1,1,74532.02,0.1062,Low,Low,0,0
445,France,Male,31,7,145056.59,1,1,1,175893.53,0.0594,Low,Low,0,0
701,France,Male,37,8,107798.85,1,1,0,16966.73,0.118,Low,Low,0,0
752,France,Male,33,4,0.0,2,1,1,39570.78,0.0216,Low,Low,0,0
723,France,Male,21,4,0.0,2,0,0,24847.02,0.0267,Low,Low,0,0
806,France,Male,34,6,0.0,2,0,0,100809.99,0.0284,Low,Low,0,0
625,France,Male,49,6,173434.9,1,1,0,165580.93,0.5203,Medium,Medium,1,1
712,Spain,Female,44,2,0.0,2,0,0,45738.94,0.0932,Low,Low,0,0
571,Spain,Female,22,3,108117.1,1,0,1,53328.7,0.0945,Low,Low,0,0
639,France,Female,37,4,116121.84,2,0,1,181850.74,0.0849,Low,Low,0,0
627,France,Female,44,5,0.0,2,1,0,82969.61,0.0919,Low,Low,1,0
630,Spain,Male,32,4,82034.0,1,0,0,146326.45,0.096,Low,Low,0,0
578,Spain,Male,23,8,0.0,2,1,0,112124.98,0.0297,Low,Low,0,0
679,Spain,Male,39,6,0.0,2,1,0,12266.06,0.0366,Low,Low,0,0
767,France,Female,35,6,115576.44,1,0,1,27922.45,0.096,Low,Low,0,0
762,Spain,Female,35,3,119349.69,3,1,1,47114.18,0.8616,High,High,1,1
734,Spain,Male,39,6,0.0,1,1,1,95135.27,0.1389,Low,Low,0,0
659,Germany,Male,67,6,117411.6,1,1,1,45071.09,0.2637,Low,Low,1,0
575,Germany,Male,49,7,121205.15,4,1,1,168080.53,0.9436,High,High,1,1
580,France,Female,35,1,102097.33,1,0,1,168285.85,0.103,Low,Low,0,0
766,Spain,Male,41,0,0.0,2,0,1,34283.23,0.0317,Low,Low,0,0
850,Germany,Male,38,3,54901.01,1,1,1,140075.55,0.1813,Low,Low,0,0
749,France,Male,42,1,129776.72,2,0,1,143538.51,0.0725,Low,Low,0,0
746,France,Male,48,5,165282.42,1,1,0,153786.46,0.4472,Medium,Medium,1,1
718,France,Male,37,8,0.0,2,1,1,142.81,0.1292,Low,Low,0,0
642,Spain,Male,26,8,144238.7,1,1,1,184399.76,0.0793,Low,Low,0,0
558,France,Male,33,0,108477.49,1,1,1,109096.71,0.0553,Low,Low,1,0
531,Germany,Female,64,2,175754.87,2,1,1,60721.4,0.0883,Low,Low,0,0
748,France,Female,41,2,91621.69,1,1,1,71139.31,0.1591,Low,Low,0,0
664,France,Male,36,1,0.0,2,1,1,95372.64,0.0255,Low,Low,0,0
511,Germany,Female,75,9,105609.17,1,0,1,105425.18,0.2355,Low,Low,0,0
635,France,Female,47,2,125724.95,2,1,0,63236.97,0.3417,Low,Medium,0,1
571,France,Male,34,1,99325.04,2,0,1,186052.15,0.0375,Low,Low,0,0
698,France,Male,57,6,136325.48,2,1,1,72549.27,0.1352,Low,Low,1,0
636,Spain,Male,76,9,126534.6,1,1,1,39789.62,0.0527,Low,Low,0,0
538,France,Female,33,5,0.0,2,1,0,126962.41,0.0368,Low,Low,0,0
738,France,Female,67,1,130652.52,1,0,1,22762.23,0.1768,Low,Low,0,0
662,Spain,Male,20,9,104508.77,2,0,0,73107.53,0.0521,Low,Low,0,0
555,France,Female,44,3,105770.7,3,1,0,60533.96,0.9111,High,High,1,1
531,Spain,Male,27,8,132576.25,1,0,0,7222.92,0.0961,Low,Low,0,0
593,Germany,Female,32,9,134096.53,2,1,0,53931.05,0.0879,Low,Low,1,0
579,Germany,Male,28,6,150329.15,1,1,0,145558.42,0.1887,Low,Low,0,0
706,France,Male,32,6,94486.47,1,1,1,146949.74,0.0552,Low,Low,0,0
754,France,Male,28,8,0.0,2,1,1,52615.62,0.0237,Low,Low,0,0
653,Germany,Male,31,9,143321.97,1,1,0,83679.46,0.2272,Low,Low,0,0
558,Germany,Male,26,1,148853.29,2,1,1,24411.02,0.0453,Low,Low,0,0
589,France,Female,39,7,0.0,2,0,0,95985.64,0.0514,Low,Low,0,0
670,Spain,Female,65,1,0.0,1,1,1,177655.68,0.2462,Low,Low,1,0
714,Germany,Female,35,6,126077.43,2,1,1,53954.24,0.0849,Low,Low,0,0
547,France,Female,51,1,0.0,2,1,1,56908.41,0.1399,Low,Low,0,0
761,Spain,Male,37,7,132730.17,1,1,0,199293.01,0.1143,Low,Low,0,0
591,France,Male,24,6,147360.0,1,1,1,25310.82,0.0592,Low,Low,0,0
714,France,Female,31,4,125169.26,1,1,1,106636.89,0.0696,Low,Low,0,0
629,Germany,Male,35,7,156847.29,2,1,0,31824.29,0.064,Low,Low,0,0
643,France,Male,36,7,161064.64,2,0,1,84294.82,0.0471,Low,Low,0,0
445,Germany,Female,38,6,119413.62,2,1,0,175756.36,0.1616,Low,Low,0,0
501,France,Female,34,3,107747.57,1,1,0,9249.36,0.0909,Low,Low,0,0
686,Germany,Female,43,5,154846.24,2,1,1,151903.6,0.1878,Low,Low,0,0
500,Germany,Male,30,2,125495.64,2,1,1,68807.47,0.0565,Low,Low,0,0
703,Germany,Male,39,1,141559.5,1,1,1,31257.1,0.2451,Low,Low,1,0
730,France,Male,34,5,122453.37,2,1,0,138882.98,0.0486,Low,Low,0,0
433,Spain,Male,27,2,0.0,2,1,1,153698.65,0.0273,Low,Low,0,0
521,Germany,Male,41,8,120586.54,1,0,1,20491.15,0.3832,Low,Medium,0,1
791,Germany,Female,33,10,130229.71,2,0,0,54019.93,0.091,Low,Low,1,0
757,France,Male,38,0,0.0,1,1,0,83263.06,0.1926,Low,Low,0,0
447,France,Female,44,5,89188.83,1,1,1,75408.24,0.2458,Low,Low,0,0
792,France,Male,30,1,127187.86,1,1,1,113553.42,0.0482,Low,Low,0,0
817,France,Male,59,1,118962.58,1,1,1,120819.58,0.1771,Low,Low,0,0
607,France,Female,33,8,91301.72,1,0,1,130824.57,0.0784,Low,Low,0,0
601,France,Male,41,1,123971.16,1,0,1,172814.99,0.1243,Low,Low,0,0
536,France,Male,32,7,178011.5,2,1,0,22375.14,0.0748,Low,Low,0,0
554,Germany,Female,36,3,157780.93,2,1,0,6089.13,0.0732,Low,Low,0,0
577,France,Male,60,10,125389.7,2,1,1,178616.73,0.1307,Low,Low,0,0
608,France,Female,41,5,0.0,2,1,1,72462.25,0.0443,Low,Low,0,0
